,Unnamed: 0,f,t,c
0,22631,Abiotrophia_defectiva_atcc_49176,592010,collection45
1,21463,Acaryochloris_marina_mbic11017,329726,collection8
2,34225,Acetivibrio_ethanolgignens,290052,collection164
3,19038,Acetobacter_aceti_1023,1457393,collection84
4,33100,Acetobacter_aceti_nbrc_14818,887700,collection93
5,27419,Acetobacter_cibinongensis_4h_1,1231339,collection129
6,39999,Acetobacter_indonesiensis_5h_1,1231340,collection148
7,8747,Acetobacter_malorum,178901,collection78
8,28582,Acetobacter_orientalis_21f_2,1231341,collection123
9,13980,Acetobacter_orleanensis_jcm_7639,1231342,collection158
10,36963,Acetobacter_pasteurianus,438,collection140
11,4572,Acetobacter_pasteurianus_386b,1266844,collection80
12,8103,Acetobacter_pasteurianus_ifo_3283_01,634452,collection5
13,26032,Acetobacter_pasteurianus_ifo_3283_01_42c,634458,collection22
14,714,Acetobacter_pasteurianus_ifo_3283_03,634453,collection20
15,34844,Acetobacter_pasteurianus_ifo_3283_07,634454,collection11
16,4441,Acetobacter_pasteurianus_ifo_3283_12,634459,collection10
17,36508,Acetobacter_pasteurianus_ifo_3283_22,634455,collection16
18,36450,Acetobacter_pasteurianus_ifo_3283_26,634456,collection16
19,31368,Acetobacter_pasteurianus_ifo_3283_32,634457,collection9
20,30620,Acetobacter_pasteurianus_subsp_pasteurianus_lmg_1262_nbrc_106471,940265,collection14
21,1365,Acetobacter_pomorum,65959,collection85
22,8142,Acetobacter_pomorum_dm001,945681,collection5
23,39929,Acetobacter_syzygii_9h_2,1231343,collection148
24,20469,Acetobacter_tropicalis,104102,collection87
25,21310,Acetobacter_tropicalis_nbrc_101654,749388,collection24
26,21316,Acetobacteraceae_bacterium_at_5844,1054213,collection24
27,14856,Acetobacterium_bakii,52689,collection128
28,29787,Acetobacterium_woodii_dsm_1030,931626,collection19
29,25973,Acetohalobium_arabaticum_dsm_5501,574087,collection22
30,4283,Acetonema_longum_dsm_6540,1009370,collection10
31,17518,Acholeplasma_brassicae,61635,collection91
32,30699,Acholeplasma_laidlawii_pg_8a,441768,collection14
33,34261,Acholeplasma_oculi,35623,collection92
34,33378,Acholeplasma_palmae_j233,1318466,collection95
35,32848,Achromatium_sp_wms1,1604834,collection147
36,40860,Achromatium_sp_wms2,1604835,collection155
37,26521,Achromatium_sp_wms3,1604836,collection142
38,31475,Achromobacter_arsenitoxydans_sy8,477184,collection9
39,15248,Achromobacter_insuavis_axx_a,1003200,collection18
40,36843,Achromobacter_piechaudii,72556,collection140
41,21277,Achromobacter_piechaudii_atcc_43553,742159,collection24
42,29915,Achromobacter_piechaudii_hle,1156919,collection19
43,6869,Achromobacter_sp_dms1,1688405,collection160
44,30143,Achromobacter_sp_lc458,1120623,collection122
45,39051,Achromobacter_sp_root170,1736480,collection166
46,5289,Achromobacter_sp_root565,1736564,collection162
47,38998,Achromobacter_sp_root83,1736602,collection166
48,14220,Achromobacter_sp_rta,1532557,collection86
49,14458,Achromobacter_spanius,217203,collection136
50,16557,Achromobacter_xylosoxidans,85698,collection88
51,29920,Achromobacter_xylosoxidans_a8,762376,collection19
52,21207,Achromobacter_xylosoxidans_c54,562971,collection24
53,19204,Achromobacter_xylosoxidans_nbrc_15126_atcc_27061,1216976,collection108
54,17414,Achromobacter_xylosoxidans_nh44784_1996,1167634,collection91
55,36525,Acidaminococcus_fermentans_dsm_20731,591001,collection16
56,26070,Acidaminococcus_intestini_ryc_mr95,568816,collection22
57,12561,Acidaminococcus_sp_bv3l6,1111120,collection43
58,15297,Acidaminococcus_sp_d21,563191,collection18
59,5102,Acidaminococcus_sp_hpa0509,1203555,collection36
60,3915,Acidianus_hospitalis_w1,933801,collection21
61,20571,Acidihalobacter_prosperus,160660,collection87
62,678,Acidilobus_saccharovorans_345_15,666510,collection20
63,26387,Acidimicrobium_ferrooxidans_dsm_10331,525909,collection17
64,30654,Acidiphilium_cryptum_jf_5,349163,collection14
65,34768,Acidiphilium_multivorum_aiu301,926570,collection11
66,29203,Acidiphilium_sp_ja12_a1,1464546,collection67
67,4309,Acidiphilium_sp_pm,1043206,collection10
68,1113,Acidiplasma_aeolicum,507754,collection131
69,28984,Acidiplasma_cupricumulans,312540,collection139
70,33166,Acidiplasma_sp_mba_1,1293648,collection93
71,5301,Acidisphaera_rubrifaciens_hs_ap3,1231350,collection162
72,25976,Acidithiobacillus_caldus_atcc_51756,637389,collection22
73,6195,Acidithiobacillus_caldus_sm_1,990288,collection13
74,29728,Acidithiobacillus_ferrivorans_ss3,743299,collection1
75,6221,Acidithiobacillus_ferrooxidans_atcc_23270,243159,collection13
76,12329,Acidithiobacillus_ferrooxidans_atcc_53993,380394,collection2
77,13153,Acidithiobacillus_sp_ggi_221,872330,collection23
78,33182,Acidithrix_ferrooxidans,1280514,collection93
79,39663,Acidobacterium_capsulatum_atcc_51196,240015,collection15
80,22225,Acidocella_aminolytica_101_dsm_11237,1120923,collection94
81,3625,Acidocella_sp_mx_az02,1214225,collection30
82,18854,Acidomonas_methanolica_nbrc_104435,1231351,collection84
83,24761,Acidothermus_cellulolyticus_11b,351607,collection7
84,30583,Acidovorax_avenae_subsp_avenae_atcc_19860,643561,collection14
85,8002,Acidovorax_citrulli_aac00_1,397945,collection25
86,8188,Acidovorax_delafieldii_2an,573060,collection5
87,3916,Acidovorax_ebreus_tpsy,535289,collection21
88,34057,Acidovorax_sp_12322_1,1705602,collection164
89,26277,Acidovorax_sp_cf316,1144317,collection17
90,29560,Acidovorax_sp_js42,232721,collection1
91,34900,Acidovorax_sp_kks102,358220,collection11
92,32453,Acidovorax_sp_leaf160,1736280,collection169
93,32542,Acidovorax_sp_leaf191,1736296,collection169
94,12009,Acidovorax_sp_leaf76,1736236,collection167
95,30976,Acidovorax_sp_leaf78,1736237,collection171
96,39118,Acidovorax_sp_leaf84,1736240,collection166
97,20296,Acidovorax_sp_mr_s7,1268622,collection133
98,21379,Acidovorax_sp_no_1,512030,collection24
99,34537,Acidovorax_sp_root217,1736492,collection163
100,25142,Acidovorax_sp_root219,1736493,collection168
101,25199,Acidovorax_sp_root267,1736505,collection168
102,34487,Acidovorax_sp_root275,1736508,collection163
103,39076,Acidovorax_sp_root402,1736527,collection166
104,28230,Acidovorax_sp_root568,1736565,collection170
105,25083,Acidovorax_sp_root70,1736590,collection168
106,10526,Acidovorax_sp_sd340,1690268,collection137
107,17425,Acidovorax_temperans,80878,collection91
108,4408,Aciduliprofundum_boonei_t469,439481,collection10
109,40604,Aciduliprofundum_sp_mar08_339,673860,collection26
110,33257,Acinetobacter_baumannii,470,collection93
111,32003,Acinetobacter_baumannii_1000160,1310800,collection56
112,7306,Acinetobacter_baumannii_1007214,1310784,collection60
113,11606,Acinetobacter_baumannii_1022959,1310751,collection58
114,31954,Acinetobacter_baumannii_1031433,1310586,collection56
115,12685,Acinetobacter_baumannii_1032241,1310571,collection55
116,17881,Acinetobacter_baumannii_1032359,1310572,collection65
117,7156,Acinetobacter_baumannii_1035119,1310622,collection60
118,11573,Acinetobacter_baumannii_1036938,1310554,collection58
